BBL,Address,Zip Code,Year Built,Total Units,Residential Units,Rent Stabilized Units,Latest sale price,Sales (12/02/2021 - 10/31/2024),Marshal Evictions (12/02/2021 - 12/01/2024),HPD Problems (12/02/2021 - 11/30/2024),HPD Violations (12/02/2021 - 12/01/2024),DOB Complaints (12/02/2021 - 12/01/2024),DOB Violations (12/02/2021 - 12/01/2024),ECB Violations (12/02/2021 - 12/01/2024),DOB Permit Applications (12/02/2021 - 12/02/2024),DOB Permit Issuances (12/02/2021 - 12/02/2024),Litigations against landlords (12/02/2021 - 11/30/2024),Housing Court Cases (12/02/2021 - 12/02/2024)
2025620033,718 East 134th Street,10454,1920,2,2,0,975000,1,0,0,3,2,0,0,0,0,0,0
2025620071,739 East 133rd Street,10454,1920,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0
2025620085,709 East 133rd Street,10454,1901,3,3,0,450000,0,0,0,6,0,0,0,0,0,0,0
2025620082,715 East 133rd Street,10454,1910,3,3,0,0,1,1,0,26,0,0,0,0,0,0,0
2025620080,719 East 133rd Street,10454,1901,3,3,0,225000,0,0,0,7,0,0,0,0,0,0,0
2025620023,700 East 134th Street,10454,1910,20,20,0,2600000,1,0,8,3,0,4,1,0,0,0,12
2025620067,747 East 133rd Street,10454,2016,8,8,8,0,0,0,0,5,0,0,0,0,0,0,0
2025620089,701 East 133rd Street,10454,1901,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0
2025620088,703 East 133rd Street,10454,1901,2,2,0,200000,0,0,0,2,0,0,0,0,0,0,0
2025620094,691 East 133rd Street,10454,1901,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2025620019,692 East 134th Street,10454,1920,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2025620061,759 East 133rd Street,10454,1920,2,2,0,193750,0,0,0,0,1,0,0,0,0,0,0
2025620031,714 East 134th Street,10454,1920,2,2,0,319300,0,0,0,0,0,0,0,0,0,0,0
2025620091,697 East 133rd Street,10454,1901,2,2,0,135000,0,0,0,0,0,0,0,0,0,0,0
2025620020,694 East 134th Street,10454,1920,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2025620035,722 East 134th Street,10454,1920,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2025620072,737 East 133rd Street,10454,1920,2,2,0,10,0,1,6,9,0,0,0,0,0,0,0
2025620036,724 East 134th Street,10454,1920,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2025620066,749 East 133rd Street,10454,2016,8,8,8,0,0,1,1,5,0,0,0,0,0,0,0
2025627501,750 East 134th Street,10454,2021,134,133,0,0,0,0,1,0,0,0,0,0,0,0,0
2025620070,741 East 133rd Street,10454,1920,2,2,0,220000,0,0,0,0,0,6,0,0,0,0,0
2025620032,716 East 134th Street,10454,1920,3,3,0,0,0,0,2,7,0,0,0,0,0,0,0
2025620030,712 East 134th Street,10454,1920,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2025620029,710 East 134th Street,10454,1920,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2025620064,753 East 133rd Street,10454,1920,2,2,0,193750,0,0,0,0,1,0,0,0,0,0,0
2025620065,751 East 133rd Street,10454,2016,8,8,8,0,0,1,0,3,0,0,0,0,0,0,0
2025620062,755 East 133rd Street,10454,1920,3,3,0,387500,0,0,28,6,1,0,0,0,0,1,0
2025460097,580 East 134th Street,10454,1910,2,2,0,371000,0,0,0,0,0,0,0,0,0,0,0
2025460096,578 East 134th Street,10454,1920,4,4,0,0,0,0,0,5,0,2,0,0,0,0,0
2025460140,124 Saint Anns Avenue,10454,1915,17,13,12,3000000,1,0,12,27,8,2,4,0,5,1,1
2025460094,574 East 134th Street,10454,1910,1,1,0,247000,0,0,0,0,0,0,0,0,0,0,0
2025460095,576 East 134th Street,10454,1910,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
