"BBL","Address","Zip Code","Year Built","Total Units","Residential Units","Rent Stabilized Units","Latest sale price","Sales (12/02/2021 - 10/31/2024)","Marshal Evictions (12/02/2021 - 12/01/2024)","HPD Problems (12/02/2021 - 11/30/2024)","HPD Violations (12/02/2021 - 12/01/2024)","DOB Complaints (12/02/2021 - 12/01/2024)","DOB Violations (12/02/2021 - 12/01/2024)","ECB Violations (12/02/2021 - 12/01/2024)","DOB Permit Applications (12/02/2021 - 12/02/2024)","DOB Permit Issuances (12/02/2021 - 12/02/2024)","Litigations against landlords (12/02/2021 - 11/30/2024)","Housing Court Cases (12/02/2021 - 12/02/2024)"
"2022840029","442 East 140th Street","10454","1889","1","1","0","1200000","1","0","0","0","0","0","0","0","0","0","0"
"2022840030","444 East 140th Street","10454","1889","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840031","446 East 140th Street","10454","1889","1","1","0","417000","0","0","0","1","0","0","0","0","0","0","0"
"2022840032","448 East 140th Street","10454","1889","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840033","450 East 140th Street","10454","1889","1","1","0","720000","0","0","0","0","0","0","0","0","0","0","0"
"2022840099","445 East 139th Street","10454","1892","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840100","443 East 139th Street","10454","1892","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"2022840101","441 East 139th Street","10454","1892","1","1","0","970000","1","0","0","0","0","0","0","0","0","0","0"
"2022840102","439 East 139th Street","10454","1892","1","1","0","875000","0","0","3","0","0","0","0","0","0","0","0"
"2022840103","437 East 139th Street","10454","1892","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840104","435 East 139th Street","10454","1892","1","1","0","982000","1","0","0","1","1","0","0","0","0","0","0"
"2022840105","433 East 139th Street","10454","1892","3","3","0","387849","0","0","0","7","0","0","0","0","0","0","0"
"2022840106","431 East 139th Street","10454","1892","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840107","429 East 139th Street","10454","1892","1","1","0","323100","0","0","0","6","0","0","0","0","0","0","0"
"2022840108","427 East 139th Street","10454","1892","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840109","425 East 139th Street","10454","1892","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840110","423 East 139th Street","10454","1892","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840111","421 East 139th Street","10454","1892","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2022840112","419 East 139th Street","10454","1892","2","2","0","296000","0","0","0","0","0","0","0","0","0","0","0"
"2022840113","417 East 139th Street","10454","1892","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840114","415 East 139th Street","10454","1892","1","1","0","760000","0","0","0","0","0","0","0","0","0","0","0"
"2022840115","413 East 139th Street","10454","1892","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840116","411 East 139th Street","10454","1892","1","1","0","998000","0","0","0","0","0","0","0","0","0","0","0"
"2022840117","409 East 139th Street","10454","1892","1","1","0","0","0","0","0","7","0","0","0","0","0","0","0"
"2022840118","407 East 139th Street","10454","1892","1","1","0","352000","0","0","0","0","0","0","0","0","0","0","0"
"2022840119","405 East 139th Street","10454","1892","1","1","0","0","0","0","1","0","2","0","0","0","0","0","0"
"2022840120","403 East 139th Street","10454","1892","14","14","10","0","1","0","337","157","17","8","4","0","0","3","3"
"2022850058","481 East 140th Street","10454","1902","10","10","10","0","0","0","41","54","1","0","0","0","0","0","0"
"2022850060","475 East 140th Street","10454","1902","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0"
"2022850061","471 East 140th Street","10454","1902","10","10","10","0","0","0","8","24","0","0","0","0","0","0","0"
"2022850063","465 East 140th Street","10454","1902","10","10","10","0","0","0","4","9","0","1","0","0","0","0","0"
"2022850064","461 East 140th Street","10454","1903","20","20","20","0","0","1","41","57","0","0","0","0","0","1","13"
"2022850066","455 East 140th Street","10454","1903","20","20","20","0","0","1","11","20","0","0","0","0","0","0","9"
"2022850067","451 East 140th Street","10454","1903","20","20","20","0","0","0","14","16","0","0","0","0","0","0","12"
"2022850069","445 East 140th Street","10454","1903","20","20","20","0","0","0","12","17","0","0","0","0","0","0","10"
"2022850070","441 East 140th Street","10454","1903","11","11","4","0","0","0","36","115","2","1","1","0","0","1","1"
"2022850076","425 East 140th Street","10454","1900","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022850077","421 East 140th Street","10454","1900","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022850078","419 East 140th Street","10454","1900","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022850079","417 East 140th Street","10454","1900","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022850080","413 East 140th Street","10454","1900","2","2","0","200000","0","0","0","0","0","0","0","0","0","0","0"
"2022850081","411 East 140th Street","10454","1900","1","1","0","0","0","1","2","1","1","0","0","0","0","0","0"
"2022850082","407 East 140th Street","10454","1900","4","4","0","0","0","0","0","7","0","0","0","0","0","0","0"
"2022850085","423 East 140th Street","10454","1900","1","1","0","0","0","1","12","0","0","0","0","0","0","0","0"
"2022850086","415 East 140th Street","10454","1900","1","1","0","1235000","1","0","0","0","1","0","0","0","4","0","0"
"2022850087","409 East 140th Street","10454","1900","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023010001","268 Alexander Avenue","10454","1893","9","9","11","850000","0","0","6","13","0","0","0","0","0","0","0"
"2023010002","270 Alexander Avenue","10454","1893","10","9","14","0","0","0","0","0","0","0","0","0","0","0","0"
"2023010003","272 Alexander Avenue","10454","1893","7","7","0","0","0","0","2","5","0","1","0","0","0","0","0"
"2023010004","330 East 139th Street","10454","1893","11","10","10","0","0","0","0","4","1","5","3","0","0","0","0"
"2023010053","262 Alexander Avenue","10454","1893","11","8","8","730000","0","0","13","24","1","5","0","0","0","0","0"
"2023020001","276 Alexander Avenue","10454","1865","2","2","0","410670","0","0","0","0","0","0","0","0","0","0","0"
"2023020002","278 Alexander Avenue","10454","1865","3","3","0","433000","0","0","0","0","0","0","0","0","0","0","0"
"2023020003","280 Alexander Avenue","10454","1865","2","2","0","975642","0","0","0","0","0","2","0","0","0","0","0"
"2023020004","282 Alexander Avenue","10454","1865","2","2","0","930000","1","0","0","0","0","0","0","0","0","0","0"
"2023020005","284 Alexander Avenue","10454","1865","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023020006","286 Alexander Avenue","10454","1865","1","1","0","0","0","0","0","6","0","6","0","0","0","0","0"
"2023020007","288 Alexander Avenue","10454","1865","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023020008","290 Alexander Avenue","10454","1865","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023020009","292 Alexander Avenue","10454","1865","2","2","0","935000","0","0","1","3","1","2","0","0","0","0","0"
"2023020011","336 East 140th Street","10454","1876","1","1","0","324480","0","0","0","0","0","0","0","0","0","0","0"
"2023030002","304 Alexander Avenue","10454","1881","2","2","0","580000","0","0","0","0","0","0","0","0","0","0","0"
"2023030003","306 Alexander Avenue","10454","1881","9","9","0","0","0","0","0","6","1","7","3","0","2","0","0"
"2023030004","308 Alexander Avenue","10454","1889","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023030005","310 Alexander Avenue","10454","1889","1","1","0","0","0","0","9","5","0","1","0","0","0","0","0"
"2023030006","312 Alexander Avenue","10454","1889","2","2","0","225000","0","0","0","7","0","0","0","0","0","0","0"
"2023030007","314 Alexander Avenue","10454","1887","2","2","0","430000","0","0","0","0","0","0","0","0","0","0","0"
"2023030011","338 East 141st Street","10454","1902","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023030012","340 East 141st Street","10454","1884","2","2","0","999000","0","0","0","3","0","0","0","0","0","0","0"
"2023030013","342 East 141st Street","10454","1884","2","2","0","0","1","0","0","3","0","0","0","0","0","0","0"
"2023030063","341 East 140th Street","10454","1877","1","1","12","0","0","0","0","1","1","6","0","0","0","0","0"
"2023030064","339 East 140th Street","10454","1877","1","1","0","0","1","0","0","3","0","0","0","0","0","0","0"
"2023030065","337 East 140th Street","10454","1888","2","2","0","498106","0","0","0","2","0","1","0","0","0","0","0"
"2023030066","335 East 140th Street","10454","1888","3","3","0","190000","0","0","0","7","0","0","0","0","0","0","0"
"2023140024","271 Alexander Avenue","10454","1888","2","2","0","400000","0","0","0","0","0","0","0","0","0","0","0"
"2023140025","269 Alexander Avenue","10454","1888","2","2","0","799000","1","0","0","0","1","0","0","0","0","0","0"
"2023140026","267 Alexander Avenue","10454","1888","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023140027","265 Alexander Avenue","10454","1888","7","7","0","519307","0","0","0","4","1","7","5","0","2","0","0"
"2023140028","263 Alexander Avenue","10454","1888","3","3","0","337500","0","0","0","0","0","0","0","0","0","0","0"
"2023140029","261 Alexander Avenue","10454","1892","10","10","3","0","0","1","19","39","7","2","2","0","0","1","0"
"2023140069","295 Alexander Avenue","10454","1882","2","2","0","959000","0","0","0","0","0","0","0","0","0","0","0"
"2023140070","293 Alexander Avenue","10454","1882","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2023140072","289 Alexander Avenue","10454","1882","1","1","0","150000","0","0","0","3","0","0","0","0","0","0","0"
"2023140073","287 Alexander Avenue","10454","1882","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023140074","285 Alexander Avenue","10454","1882","1","1","0","1200000","0","0","0","0","0","0","0","0","0","0","0"
"2023140075","283 Alexander Avenue","10454","1882","2","2","0","680000","0","0","0","0","0","0","0","0","0","0","0"
"2023140076","281 Alexander Avenue","10454","1882","2","2","0","751000","0","0","0","0","0","0","0","0","0","0","0"
"2023140077","279 Alexander Avenue","10454","1882","2","2","0","800357","0","0","0","0","0","6","0","0","0","0","0"
"2023140078","277 Alexander Avenue","10454","1882","1","1","0","495000","0","0","1","0","0","0","0","0","0","0","0"
"2023140082","295 East 139th Street","10454","1873","1","1","0","825000","0","0","8","5","0","0","0","0","0","0","0"
"2023140083","293 East 139th Street","10454","1874","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023150020","313 East 140th Street","10454","1874","6","6","5","0","0","2","250","149","7","4","4","0","0","3","0"
"2023150021","311 East 140th Street","10454","1874","1","1","0","525000","0","0","0","7","0","1","0","0","0","0","0"
"2022800068","425 East 135th Street","10454","1901","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023010037","371 East 138th Street","10454","1920","16","14","0","0","0","0","0","3","0","0","0","0","0","0","0"
"2025670013","691 East 138th Street","10454","1988","98","98","0","0","0","0","0","0","3","0","4","1","0","0","0"
"2025720006","346 Powers Avenue","10454","1988","325","325","0","0","0","0","0","0","11","0","15","3","0","0","0"
"2025610084","685 East 132nd Street","10454","1920","1","1","0","299000","2","0","0","0","2","1","2","0","0","0","0"
"2022810060","431 East 136th Street","10454","1931","94","94","22","8","0","0","53","37","7","5","0","0","0","0","13"
"2025520148","629 East 139th Street","10454","1998","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025510040","637 East 138th Street","10454","2013","50","50","51","1","0","0","101","133","0","0","0","0","0","1","33"
"2025660039","673 East 137th Street","10454","1915","22","20","15","0","0","1","60","85","3","4","1","0","0","0","5"
"2025680009","680 East 140th Street","10454","1920","36","36","38","0","0","0","54","68","0","0","0","0","0","0","1"
"2025680040","681 East 139th Street","10454","2000","2","2","0","650000","0","0","0","0","0","0","0","0","0","0","0"
"2025670010","268 Cypress Avenue","10454","1931","5","4","0","10","0","0","0","6","0","1","0","0","0","0","0"
"2025660020","231 Jackson Avenue","10454","1910","20","18","15","0","0","0","72","136","0","6","0","0","0","3","4"
"2025660018","704 East 138th Street","10454","1910","23","19","20","5750000","0","0","37","41","0","0","0","0","0","0","3"
"2025680170","290 Cypress Avenue","10454","2000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025680001","280 Cypress Avenue","10454","2000","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2025520147","631 East 139th Street","10454","1998","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025510030","616 East 139th Street","10454","2014","70","70","69","1","0","4","118","97","0","0","0","0","0","2","34"
"2025510045","647 East 138th Street","10454","1915","17","17","12","1","0","0","13","22","0","0","0","0","0","0","3"
"2025680012","690 East 140th Street","10454","1969","200","200","0","0","0","1","29","20","3","0","0","0","0","1","12"
"2022680021","538 East 142nd Street","10454","2018","8","8","3","400000","0","0","68","41","1","0","0","0","0","4","0"
"2025520145","635 East 139th Street","10454","1998","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025520061","587 East 139th Street","10454","1905","90","90","53","0","0","2","72","28","6","1","0","0","0","0","18"
"2025730024","349 Concord Avenue","10454","1910","3","3","0","0","0","0","44","64","1","0","0","0","0","1","0"
"2025730071","390 Jackson Avenue","10454","1929","45","42","42","0","0","0","21","13","16","6","6","0","0","0","11"
"2025730007","332 Jackson Avenue","10454","1910","1","1","0","75000","0","0","0","0","0","0","0","0","0","0","0"
"2025720063","704 Saint Marys Street","10454","1999","2","2","0","412371","0","0","0","0","0","0","0","0","0","0","0"
"2025720067","707 East 142nd Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025720060","698 Saint Marys Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025720061","700 Saint Marys Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025710028","387 Powers Avenue","10454","1999","1","1","0","695800","1","0","0","0","0","0","0","0","0","0","0"
"2025720003","323 Jackson Avenue","10454","2023","95","95","0","1","1","0","0","0","0","0","3","1","0","0","0"
"2025730031","335 Concord Avenue","10454","1910","3","3","0","345000","0","0","0","3","0","0","0","0","0","0","0"
"2025710031","381 Powers Avenue","10454","1999","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025710029","385 Powers Avenue","10454","1999","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025710132","377 Powers Avenue","10454","1999","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025550028","601 Oak Terrace","10454","1920","25","25","24","0","0","1","26","11","1","0","2","0","3","0","14"
"2025540038","656 Saint Marys Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025540037","654 Saint Marys Street","10454","1999","2","2","0","775000","0","0","0","0","0","0","0","1","1","0","0"
"2025550082","612 Beech Terrace","10454","1901","3","3","0","1150000","0","0","19","41","0","0","0","0","0","0","0"
"2022720022","443 Saint Anns Avenue","10454","1976","84","84","0","1","0","0","44","60","39","2","3","0","0","2","8"
"2025550107","587 Beech Terrace","10454","2000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025560023","570 Saint Marys Street","10454","1920","25","25","20","0","0","0","0","0","2","2","2","0","2","0","0"
"2025560022","370 Saint Anns Avenue","10454","1910","20","20","15","0","0","0","9","13","0","0","0","0","0","0","7"
"2025550112","590 Saint Marys Street","10454","2000","2","2","0","910000","0","0","0","0","0","0","0","0","0","0","0"
"2025670009","266 Cypress Avenue","10454","1931","2","1","0","356000","0","0","0","0","0","0","0","0","0","0","0"
"2025680004","286 Cypress Avenue","10454","2000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025500038","235 Cypress Avenue","10454","1910","43","42","40","1","0","2","54","38","0","0","0","0","0","3","22"
"2025730049","720 Saint Marys Street","10454","1929","43","43","42","0","0","1","9","9","1","5","0","0","0","0","17"
"2025720057","694 Saint Marys Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025720072","697 East 142nd Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0"
"2025710014","354 Cypress Avenue","10454","1906","87","87","87","0","0","2","213","306","12","6","9","0","0","5","45"
"2025720162","702 Saint Marys Street","10454","1999","2","2","0","722000","0","0","0","0","0","0","0","0","0","0","0"
"2025720070","701 East 142nd Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025720074","693 East 142nd Street","10454","1999","2","2","0","700000","0","0","0","0","0","0","0","0","0","0","0"
"2025710030","383 Powers Avenue","10454","1999","1","1","0","355000","0","0","0","0","0","0","0","0","0","0","0"
"2025710023","670 Saint Marys Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025730009","336 Jackson Avenue","10454","1910","1","1","0","450000","0","0","0","0","0","0","0","0","0","0","0"
"2025540036","652 Saint Marys Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025650070","735 East 136th Street","10454","1920","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2022710020","423 Saint Anns Avenue","10454","1906","26","26","0","0","0","0","26","47","0","1","0","0","0","1","10"
"2025550106","589 Beech Terrace","10454","2000","2","2","0","415000","0","0","0","0","0","0","0","0","0","0","0"
"2025540028","360 Beekman Avenue","10454","2000","2","2","0","0","1","0","1","0","0","0","0","0","0","0","0"
"2025550120","606 Saint Marys Street","10454","2000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025550141","604 Beech Terrace","10454","2023","14","14","0","0","0","0","0","0","7","0","0","8","2","0","0"
"2025550045","351 Beekman Avenue","10454","1904","16","16","16","0","0","0","71","70","0","0","0","0","0","3","7"
"2022710119","546 East 145th Street","10454","1906","13","13","13","8","0","0","16","32","0","0","0","0","0","0","7"
"2025750028","797 East 142nd Street","10454","1915","21","20","22","1500000","0","0","49","121","4","1","0","0","0","1","5"
"2025550015","596 Oak Terrace","10454","1920","3","3","0","400000","1","0","0","7","0","0","0","0","0","0","0"
"2025540039","369 Cypress Avenue","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025540049","345 Cypress Avenue","10454","1924","40","40","40","0","0","1","90","77","1","2","0","0","0","1","12"
"2025540018","348 Beekman Avenue","10454","1920","67","67","67","0","0","1","120","218","8","0","4","0","0","4","43"
"2025550019","604 Oak Terrace","10454","1901","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025550048","611 Oak Terrace","10454","2000","1","1","0","310000","0","0","0","0","0","0","0","0","0","0","0"
"2025550047","613 Oak Terrace","10454","2000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025550124","323 Beekman Avenue","10454","2007","2","2","0","0","0","0","2","5","0","0","0","0","0","0","0"
"2025530031","620 East 141st Street","10454","1920","42","42","42","0","0","0","49","39","9","0","1","0","0","0","18"
"2025540008","320 Beekman Avenue","10454","1910","15","14","14","0","1","2","61","7","0","1","0","0","0","2","10"
"2025550128","319 Beekman Avenue","10454","2007","2","2","0","0","1","0","10","11","0","0","0","0","0","0","0"
"2025540001","325 Cypress Avenue","10454","1918","15","14","14","1800000","0","0","5","18","2","0","0","0","0","1","7"
"2025520129","620 East 140th Street","10454","2000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025530046","635 East 140th Street","10454","2000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025530065","611 East 140th Street","10454","2000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025530053","623 East 140th Street","10454","2000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025540033","648 Saint Marys Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025540031","644 Saint Marys Street","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025550103","595 Beech Terrace","10454","2000","2","2","0","799000","1","0","0","0","0","0","0","0","0","0","0"
"2025550137","596 Beech Terrace","10454","1999","2","2","0","325000","0","0","0","0","0","0","0","0","0","0","0"
"2025560017","364 Saint Anns Avenue","10454","1905","17","17","17","0","0","0","5","8","0","0","0","0","0","0","6"
"2025550042","614 Beech Terrace","10454","1901","3","3","0","1150000","0","0","0","6","0","0","0","0","0","0","0"
"2025550114","594 Saint Marys Street","10454","2000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025550140","602 Beech Terrace","10454","1999","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025550138","598 Beech Terrace","10454","1999","2","2","0","690000","0","0","0","0","0","0","0","0","0","0","0"
"2025550102","597 Beech Terrace","10454","2000","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025550041","610 Beech Terrace","10454","1901","3","3","0","1150000","0","1","0","5","0","0","0","0","0","0","0"
"2025550030","593 Oak Terrace","10454","1925","38","38","38","0","0","2","33","38","0","2","0","0","0","1","22"
"2025550043","616 Beech Terrace","10454","1931","3","2","0","1150000","0","0","0","2","0","0","0","0","1","0","0"
"2025550006","591 East 141st Street","10454","2003","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0"
"2025550025","607 Oak Terrace","10454","2000","1","1","0","678000","1","0","0","0","0","0","0","0","0","0","0"
"2025550017","600 Oak Terrace","10454","2017","14","14","0","250000","0","0","3","16","0","4","0","0","0","0","0"
"2025550011","585 East 141st Street","10454","2003","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025540003","625 East 141st Street","10454","1900","35","35","20","0","0","0","75","31","1","0","0","0","0","2","11"
"2025520149","627 East 139th Street","10454","1998","2","2","0","825000","1","0","0","0","0","0","0","0","0","0","0"
"2025530070","607 East 140th Street","10454","2000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025530071","605 East 140th Street","10454","2000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025730026","345 Concord Avenue","10454","1910","3","3","0","480000","0","0","0","3","0","0","0","0","0","0","0"
"2025730022","353 Concord Avenue","10454","1910","4","4","0","0","0","0","0","6","0","0","0","0","0","0","0"
"2025730030","337 Concord Avenue","10454","1910","3","3","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2025730036","325 Concord Avenue","10454","1910","3","3","0","0","0","0","0","7","0","0","0","0","0","0","0"
"2025760001","785 East 144th Street","10454","1931","5","3","0","2900000","0","0","1","0","1","5","0","0","1","0","0"
"2025620034","720 East 134th Street","10454","1920","3","3","0","0","0","0","0","7","0","0","0","0","0","0","0"
"2025650055","748 East 137th Street","10454","1920","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2025980077","906 East 141st Street","10454","1905","13","12","2","1400000","0","1","34","36","1","0","0","0","0","0","4"
"2025610035","736 East 133rd Street","10454","1920","3","3","0","222000","0","0","0","5","0","0","0","0","0","0","0"
"2025620069","743 East 133rd Street","10454","1920","2","2","0","200000","0","0","0","0","0","0","0","0","0","0","0"
"2022890158","473 East 144th Street","10454","1993","2","2","0","365000","0","0","0","0","0","0","0","0","0","0","0"
"2022900154","465 East 145th Street","10454","1991","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
